Item Number,Long Description,Short Description,Product Number,PriceOB,ALL,STMARIA,SALINA,WAREHOUSE,STMWH,REPAIR,RMA,ADJ_REPAIR,ADJ_RMA,Last Received Date,Last Sold Date,Cost,Price,Margin
5010226,"KlipX Sleeve 15.6"" BL",KNS-220BL,KNS-220BL,24.99,10,3,5,2,0,0,0,0,0,2025-06-17,2026-04-22,12.18,23.58,48.3
5010227,"KlipX Sleeve 15.6"" PK",KNS-220PK,KNS-220PK,24.99,19,5,6,8,0,0,0,0,0,2026-03-06,2026-04-13,13.56,23.58,42.5
5010228,Xtech XTQ-209 ATX case w Power,XTQ-209,XTQ-209,99.99,3,1,2,0,0,0,0,0,0,2026-03-06,2025-06-09,56.88,94.33,39.7
5010229,"KlipX Sleeve 15.6"" BL",KNS-120BL,KNS-120BL,25.99,12,4,7,1,0,0,0,0,0,2025-09-08,2026-02-20,12.27,24.52,50
5010230,"Xtech XTB-210 Backpack 15.6""BL",XTB-210BL,XTB-210BL,39.99,4,0,4,0,0,0,0,0,0,2024-02-27,2026-03-16,16.94,37.73,55.1
5010231,KlipX 15.6 SquarePro Sleeve SV,KNS-420SV,KNS-420SV,29.99,13,0,3,0,10,0,0,0,0,2026-01-28,2026-03-31,16.52,28.29,41.6
5010232,KlipX Duotrak Mouse BK,KMB-501BK,KMB-501BK,29.99,37,6,5,26,0,0,0,0,-1,2026-03-06,2026-04-20,16.06,28.29,43.2
5010233,KlipX Duotrak Mouse WH,KMB-501WH,KMB-501WH,29.99,17,7,5,5,0,0,0,0,0,2024-02-27,2026-04-09,15.56,28.29,45
5010234,KlipX Ebony Optical Mouse,KMO-104,KMO-104,19.99,7,4,3,0,0,0,0,0,-1,2024-02-27,2026-04-20,6.7,18.86,64.5
5010235,XtechUTP Cat6 Box 1000 ft,XTC-226,XTC-226,119.99,0,0,0,0,0,0,0,0,0,2025-10-31,2025-12-16,65.62,113.2,42
5010236,KlipX Wrls Presenter KPP-003,KPP-003,KPP-003,44.99,11,3,6,2,0,0,0,0,0,2026-01-28,2026-04-17,25.8,42.44,39.2
5010237,Xtech 5 in 1 Multicharging,XTC-560,XTC-560,14.99,0,0,0,0,0,0,0,0,-2,2024-02-27,2024-10-05,6.58,14.14,53.5
5010238,KlipX BoomBar Soundbar,KSB-230,KSB-230,199.99,0,0,0,0,0,0,0,0,0,2025-06-17,2025-08-28,98.11,188.67,48
5010239,Nexxt NHB-W1102K LED Bulb 1PC,NHB-W110,NHB-W110,19.99,0,0,0,0,0,0,0,0,0,2024-09-17,2025-07-17,10.6,18.86,43.8
5010240,Nexxt Smart WiFi LED 110V MR16,NHB-W310,NHB-W310,14.99,0,0,0,0,0,0,0,0,0,2024-07-10,2026-04-02,8.32,14.14,41.2
5010241,Hp Zbook Fury G8 Mobile,687T1US#ABA,687T1US#ABA,2799.99,0,0,0,0,0,0,0,0,0,2024-04-19,2024-08-06,1675.85,2641.5,36.6
5010242,Lenovo ThinkCentre M80q Ci5,11DQS1CN00,11DQS1CN00,1399.98,0,0,0,0,0,0,0,0,0,2024-03-13,2025-01-21,878.74,1320.74,33.5
5010243,Lenovo Thinkcentre M90A AIO,11CDS0DC00,11CDS0DC00,1799.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-06-30,1169.63,1698.1,31.1
5010244,"Asus VivoBook Ci5 15.6"" Touch",F515EA-WH52,F515EA-WH52,1199.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-06-15,709.91,1132.07,37.3
5010245,Lenovo IdeaCentre Mini Ci5,90W2000GUT,90W2000GUT,1399.98,3,1,2,0,0,0,0,-1,0,2024-03-13,2026-03-11,892.98,1320.74,32.4
